CandidateNumber,OwnerPath,XsdLine,MatchedKeywords,Status,RuleId,Reason,SourceText
38,ArgumentMatchCriteriaType/ComparisonList,1604,must,NON_NORMATIVE,,Runtime AND-evaluation semantics.,A series of simple comparison checks with an implicit 'and' in that they all must be true for the overall condition to be true.
39,ArgumentType/initialValue,1632,"must not, must",SEMANTIC,XTCE-1.2-R15-typed-value-valid-for-type,Same rule as #29 (ArgumentType/initialValue).,"Specify as: integer data type using xs:integer, float data type using xs:double, string data type using xs:string, boolean data type using xs:boolean, binary data type using xs:hexBinary, enum data type using label name, relative time data type using xs:duration, absolute time data type using xs:dateTime.  Values must not exceed the characteristics for the data type or this is a validation error. Takes precedence over an initial value given in the data type. Values are calibrated unless there is an option to override it."
40,BaseMetaCommandType,1698,required,FLAGGED,,"Spec-internal inconsistency: documentation states ArgumentAssignmentList is 'required', but the XSD declares minOccurs=""0"" (optional). Not implemented as a strict rule — doing so would reject files the schema itself accepts. Recorded as a finding, not a validator rule.","When specified, a BaseMetaCommand element identifies that this MetaCommand inherits (extends) another MetaCommand.  It’s required ArgumentAssignmentList narrows or this command from the parent.  This is typically used when specializing a generic MetaCommand to a specific MetaCommand.  See MetaCommandType."
41,CommandVerifierType,1833,must,NON_NORMATIVE,,Runtime command-verification evaluation semantics.,A command verifier is used to check that the command has been successfully executed. Command Verifiers may be either a Custom Algorithm or a Boolean Check or the presence of a Container for a relative change in the value of a Parameter.  The CheckWindow is a time period where the verification must test true to pass.
42,FloatArgumentType,1896,should,NON_NORMATIVE,,Guidance to spec authors on type choice (same as #23).,"Describe a floating point argument type.  Several encodings are supported.  Calibrated integer to float relationships should be described with this data type. Use the data encoding to define calibrators.  Joins integer as one of the numerics. See FloatDataEncodingType, IntegerDataEncodingType and FloatDataType."
43,IntegerArgumentType,1912,should,NON_NORMATIVE,,Guidance to spec authors on type choice (same as #23).,Describes an integer argument type. Several encodings supported.  Calibrated integer to integer relationships should be described with this data type. Use the integer data encoding to define calibrators. Joins float as one of the numerics. See IntegerDataEncoding and IntegerDataType.
44,CompleteVerifierType,2101,must,NON_NORMATIVE,,Runtime AND-evaluation semantics (command verifier completion).,A possible set of verifiers that all must be true for the command be considered completed.
45,ParameterToSetType/NewValue,2204,must,SEMANTIC,XTCE-1.2-R15-typed-value-valid-for-type,Same rule as #29 (ParameterToSetType/NewValue).,Specify value as a string compliant with the XML schema (xs) type specified for each XTCE type: integer=xs:integer; float=xs:double; string=xs:string; boolean=xs:boolean; binary=xs:hexBinary; enum=xs:string from EnumerationList; relative time= xs:duration; absolute time=xs:dateTime.  Supplied value must be within the ValidRange specified for the Parameter and appropriate for the type.
46,SentFromRangeVerifierType,2270,must,NON_NORMATIVE,,"Operational/deployment guidance about telemetry source, not checkable from the file itself.","Sent from range means the command has been transmitted to the spacecraft by the network that connects the ground system to the spacecraft.  Obviously, this verifier must come from something other than the spacecraft."
47,TransferredToRangeVerifierType,2292,must,NON_NORMATIVE,,Same as #46.,"Transferred to range means the command has been received to the network that connects the ground system to the spacecraft.  Obviously, this verifier must come from something other than the spacecraft."
48,VerifierSetType,2344,should,SEMANTIC,XTCE-1.2-R12-no-duplicate-verifiers-post-inheritance,"No duplicate verifiers across CompleteVerifiers/ExecutionVerifiers after resolving BaseMetaCommand inheritance — real constraint, complex (requires resolving the inheritance chain).","Describe a collection of unordered verifiers.  A command verifier is a conditional check on the telemetry from a SpaceSystem that that provides positive indication on the processing state of a command.  There are eight different verifiers each associated with difference states in command processing: TransferredToRange, TransferredFromRange, Received, Accepted, Queued, Execution, Complete, and Failed.  There may be multiple ‘complete’ and 'execution' verifiers. If the MetaCommand is part of an inheritance relation (BaseMetaCommand), the 'complete' and 'execution' verifier sets are appended to any defined in the parent MetaCommand. All others will override a verifier defined in a BaseMetaCommand.  Duplicate verifiers in the list of CompleteVerifiers and ExecutionVerifiers before and after appending to the verifiers in BaseMetaCommand should be avoided. See MetaCommandType and BaseMetaCommandType for additional information."
49,ChecksumType/name,2393,must,SEMANTIC,XTCE-1.2-R03-checksum-custom-requires-inputalgorithm,"Conditional requirement: if ChecksumType name=""custom"" then InputAlgorithm must be set — XSD can't express attribute-value-conditional element requirements.","Qualified list of name checksum algorithms. If custom is chosen, InputAlgorithm must be set."
50,ContextCalibratorListType,2429,must,NON_NORMATIVE,,"Runtime calibrator-selection evaluation order semantics (first match wins), not a file constraint.",Describe an ordered list of calibrators with a context match.  Useful when different calibrations must be used depending on a matching value.  The first context that matches determines which calibrator to use. See IntegerDataEncodingType and FloatDataEncodingType.
51,InputAlgorithmType/InputSet,2460,should,NON_NORMATIVE,,Descriptive definition of InputSet (algorithm variant).,The InputSet describes the list of parameters that should be made available as input arguments to the algorithm.
52,InputOutputTriggerAlgorithmType/triggerContainer,2491,should,NON_NORMATIVE,,Descriptive definition.,First telemetry container from which the output parameter should be calculated.
53,InputOutputTriggerAlgorithmType/priority,2496,should,NON_NORMATIVE,,Runtime evaluation-order semantics (priority ordering).,"Algorithm processing priority. If more than one algorithm is triggered by the same container, the lowest priority algorithm should be calculated first."
54,BaseCalibratorType,2650,may not,NON_NORMATIVE,,"Interop caveat, same pattern as #7.","Supplies an optional non-reference-able name and short description for calibrators.  Also includes an optional ancillary data for any special local flags, note that these may not necessarily transfer to another recipient of an instance document."
55,SplineCalibratorType/order,2772,required,SEMANTIC,XTCE-1.2-R13-spline-order-requires-min-points,Conditional cardinality constraint: spline order N requires a minimum number of calibration points (e.g. order 2 needs >=3 points) — not XSD-checkable (can't condition list length on a sibling attribute value).,"The interpolation order to apply to the overall spline function.  Order 0 is no slope between the points (flat).  Order 1 is linear interpolation.  Order 2 would be quadratic and in this special case, 3 points would be required, etc."
56,SyncStrategyType,2933,should,NON_NORMATIVE,,"Confirmed false positive: 'Should a sync marker be missed' is archaic conditional phrasing ('if X is missed'), not a normative 'should'. Same pattern as the known Math Calibrator false positive documented in Xtce.SpecTools.Tests.","A Sync Strategy specifies the strategy on how to find frames within a stream of PCM data.  The sync strategy is based upon a state machine that begins in the 'Search' state until the first sync marker is found.  Then it goes into the 'Verify' state until a specified number of successive good sync markers are found.  Then, the state machine goes into the 'Lock' state, in the 'Lock' state frames are considered good.  Should a sync marker be missed in the 'Lock' state, the state machine will transition into the 'Check' state, if the next sync marker is where it's expected within a specified number of frames, then the state machine will transition back to the 'Lock' state, it not it will transition back to 'Search'."
57,BaseDataType/BinaryDataEncoding,3065,required,NON_NORMATIVE,,Purely descriptive explanation of BinaryDataEncoding's use case.,"Binary encoding is typically a ""pass through"" raw encoding form where one of the more common encodings is not required for the parameter.  A custom transformation capability is available if needed."
58,ArgumentBaseDataType/BinaryDataEncoding,3109,required,NON_NORMATIVE,,"Same as #57, Argument variant.","Binary encoding is typically a ""pass through"" raw encoding form where one of the more common encodings is not required for the argument.  A custom transformation capability is available if needed."
59,BaseTimeDataType,3166,must,SEMANTIC,XTCE-1.2-R14-time-datatype-requires-encoding,"States time data types are an exception requiring a data encoding even when not telemetered (unlike other primitives, where it's implied optional). Tentative — XSD schema check for whether this is already narrowed to required specifically for time types was not performed; verify before implementing.","An abstract schema type used within the schema to derive other time based data types: RelativeTimeDataType and AbsoluteTimeDataType.  An absolute time data type is a telemetered source/destination data type.  A data encoding must be set.  An optional epoch may be set.  Time types are an exception to other primitives because, if the time data type is not telemetered, it still must have a data encoding set.  See DataEncodingType, AbsoluteTimeDataType and RelativeTimeDataType."
60,DimensionType,3270,must,FLAGGED,,"Documentation describes an OR/choice between {StartingIndex,EndingIndex} and a 'Size' alternative, but DimensionType's own XSD definition only shows the index pair — the Size alternative (if real) must live in a different type or a higher-level xs:choice not captured by inspecting DimensionType alone. Needs deeper schema review before classifying as semantic-rule vs. already-XSD-enforced via choice.","For partial entries of an array, the starting and ending index for each dimension, OR the Size must be specified.  Indexes are zero based."
61,DimensionListType,3296,must,SEMANTIC,XTCE-1.2-R06-dimensionlist-order-must-ascend,"Dimension order must ascend or the array must be broken out entry by entry — flagged as somewhat ambiguous phrasing (describes a workaround rather than a hard error), but capitalized MUST suggests genuine intent.",Where the Dimension list is in this form:  Array[1stDim][2ndDim][lastDim].  The last dimension is assumed to be the least significant - that is this dimension will cycle through its combination before the next to last dimension changes.  The order MUST ascend or the array will need to be broken out entry by entry.
62,ArgumentEnumeratedDataType/initialValue,3336,must,SEMANTIC,XTCE-1.2-R07-enum-initial-value-must-be-valid-label,"Initial/default value (given as a label) must be a valid label in the type's enumeration list — not XSD-checkable since the value is a generic string, cross-referenced against a sibling EnumerationList.","Default/Initial value is always given in calibrated form.  Use the label, it must be in the enumeration list to be valid."
63,EnumeratedDataType/initialValue,3359,must,SEMANTIC,XTCE-1.2-R07-enum-initial-value-must-be-valid-label,"Same rule as #62, EnumeratedDataType variant.","Default/Initial value is always given in calibrated form.  Use the label, it must be in the enumeration list to be valid."
64,ArgumentFloatDataType/sizeInBits,3391,required,NON_NORMATIVE,,"Implementation hint about internal sizing, explicitly described as an optional hint, not a constraint.","Optional hint to the implementation about the size of the engineering/calibrated data type to use internally.  Generally this can be determined by examination of the space required to capture the full range of the encoding, but it is not always clear when calibrators are in use.  A tolerant implementation will endeavor to always make sufficient size engineering data types to capture the entire range of possible values."
65,FloatDataType,3399,should,NON_NORMATIVE,,Guidance to spec authors on type choice (same pattern as #23).,"A base schema type for describing a floating point engineering/calibrated data type. Several encodings are supported.  Calibrated integer to float relationships should be described with this data type. Use the data encoding to define calibrators.  Joins integer as one of the numerics. See BaseDataType, FloatParameterType and FloatArgumentType."
66,FloatDataType/ValidRange,3411,should,NON_NORMATIVE,,"Describes runtime boundary-check behavior/interpretation, not a file structural constraint.","The Valid Range provides additional boundary/constraint information beyond that of the data encoding in the range of possible values that are meaningful to this parameter.  Not to be construed as an alarm definition, violations of the valid range make a parameter value ""unreasonable"", as opposed to reasonable to be reported, but in a state which should be of concern."
67,FloatDataType/sizeInBits,3433,required,NON_NORMATIVE,,"Implementation hint, same pattern as #64.","Optional hint to the implementation about the size of the engineering/calibrated data type to use internally.  Generally this can be determined by examination of the space required to capture the full range of the encoding, but it is not always clear when calibrators are in use.  A tolerant implementation will endeavor to always make sufficient size engineering data types to capture the entire range of possible values."
68,ArgumentIntegerDataType/sizeInBits,3459,required,NON_NORMATIVE,,"Implementation hint, same pattern as #64.","Optional hint to the implementation about the size of the engineering/calibrated data type to use internally.  Generally this can be determined by examination of the space required to capture the full range of the encoding, but it is not always clear when calibrators are in use.  A tolerant implementation will endeavor to always make sufficient size engineering data types to capture the entire range of possible values."
69,ArgumentIntegerDataType/signed,3464,"should not, should",REDUNDANT,,"XSD already declares default=""true"" on the signed attribute — documentation restates the schema's own default.",Flag indicating if the engineering/calibrated data type used should support signed representation.  This should not be confused with the encoding type for the raw value.  The default is true.
70,IntegerDataType/ValidRange,3484,should,NON_NORMATIVE,,"Runtime boundary-check behavior, same pattern as #66.","The Valid Range provides additional boundary/constraint information beyond that of the data encoding in the range of possible values that are meaningful to this parameter.  Not to be construed as an alarm definition, violations of the valid range make a parameter value ""unreasonable"", as opposed to reasonable to be reported, but in a state which should be of concern."
71,IntegerDataType/sizeInBits,3506,required,NON_NORMATIVE,,"Implementation hint, same pattern as #64.","Optional hint to the implementation about the size of the engineering/calibrated data type to use internally.  Generally this can be determined by examination of the space required to capture the full range of the encoding, but it is not always clear when calibrators are in use.  A tolerant implementation will endeavor to always make sufficient size engineering data types to capture the entire range of possible values."
72,IntegerDataType/signed,3511,"should not, should",REDUNDANT,,"Same as #69, ArgumentIntegerDataType variant — XSD default=""true"" confirmed present.",Flag indicating if the engineering/calibrated data type used should support signed representation.  This should not be confused with the encoding type for the raw value.  The default is true.
73,ValidFloatRangeSetType/ValidRange,3631,should,NON_NORMATIVE,,"Runtime boundary-check behavior, same pattern as #66.","A valid range constrains the whole set of possible values that could be encoded by the data type to a more ""valid"" or ""reasonable"" set of values.  This should be treated as a boundary check in an implementation to validate the input or output value.  Typically, only 1 range is used.  In cases where multiple ranges are used, then the value is valid when it is valid in any of the provided ranges.  Implementations may also use these ranges to enhance user interface displays and other visualization widgets as appropriate for the type."
74,ValidIntegerRangeSetType/ValidRange,3648,should,NON_NORMATIVE,,"Runtime boundary-check behavior, same pattern as #66.","A valid range constrains the whole set of possible values that could be encoded by the data type to a more ""valid"" or ""reasonable"" set of values.  This should be treated as a boundary check in an implementation to validate the input or output value.  Typically, only 1 range is used.  In cases where multiple ranges are used, then the value is valid when it is valid in any of the provided ranges.  Implementations may also use these ranges to enhance user interface displays and other visualization widgets as appropriate for the type."
75,EncodingType/BinaryDataEncoding,3769,required,NON_NORMATIVE,,"Purely descriptive, same as #57/#58.","Binary encoding is typically a ""pass through"" raw encoding form where one of the more common encodings is not required for the parameter.  A custom transformation capability is available if needed."
76,LeadingSizeType,3951,must,NON_NORMATIVE,,"Blind re-triage label fix: ""SizeTag must be an unsigned Integer"" constrains the ENCODED STREAM tag at runtime, not the document; the original REDUNDANT claim had no schema mechanism behind it. No validator impact.","Like PASCAL strings, the size of the string is given as an integer at the start of the string.  SizeTag must be an unsigned Integer"
77,ArgumentStringDataEncodingType/Variable,4079,should,NON_NORMATIVE,,Advisory modeling guidance for spec authors; whether a string 'actually' has constant encoded size isn't checkable from the file alone.,Variable length strings are those where the space occupied in a container can vary.  If the string has variable content but occupies the same amount of space when encoded should use the SizeInBits element.  Specification of a variable length string needs to consider that the implementation needs to allocate space to store the string.  Specify the maximum possible length of the string data type for memory purposes and also specify the bit size of the string to use in containers with the dynamic elements.
78,StringDataEncodingType/Variable,4105,should,NON_NORMATIVE,,"Same as #77, non-Argument variant.",Variable length strings are those where the space occupied in a container can vary.  If the string has variable content but occupies the same amount of space when encoded should use the SizeInBits element.  Specification of a variable length string needs to consider that the implementation needs to allocate space to store the string.  Specify the maximum possible length of the string data type for memory purposes and also specify the bit size of the string to use in containers with the dynamic elements.
79,StringEncodingType,4128,must,NON_NORMATIVE,,"Describes a property of ENCODED telemetry data (BOM in the binary stream), not the XTCE definition file's own structure.","With UTF-16, encoded bits must be prepended with a Byte Order Mark.  This mark indicates whether the data is encoded in big or little endian."
80,StringEncodingType,4143,must,NON_NORMATIVE,,"Same as #79, UTF-32 variant.","With UTF-32, encoded bits must be prepended with a Byte Order Mark.  This mark indicates whether the data is encoded in big or little endian."
81,ToStringType/NumberFormat,4162,should,NON_NORMATIVE,,"Display/presentation formatting guidance, not file structural validity.",This element describes how a numeric value should be represented in engineering/calibrated form.  The defaults reflect the most common form.
